country,year,region,target_conflict_next_year,organized_violence_exists,predicted_conflict_next_year,predicted_conflict_probability,risk_band,prediction_result
Mali,2020,Africa,1,1,1,0.999992247650682,very_high,true_positive
Myanmar (Burma),2021,Asia,1,1,1,0.9999922006744556,very_high,true_positive
South Sudan,2022,Africa,1,1,1,0.9999910033005518,very_high,true_positive
Afghanistan,2017,Asia,1,1,1,0.999990578498939,very_high,true_positive
Pakistan,2021,Asia,1,1,1,0.9999904407951248,very_high,true_positive
Somalia,2019,Africa,1,1,1,0.999990097687242,very_high,true_positive
Myanmar (Burma),2023,Asia,1,1,1,0.9999894539730864,very_high,true_positive
Sudan,2018,Africa,1,1,1,0.999987945797282,very_high,true_positive
Libya,2018,Africa,1,1,1,0.9999810591363992,very_high,true_positive
Colombia,2019,Americas,1,1,1,0.9999797212107264,very_high,true_positive
Ethiopia,2023,Africa,1,1,1,0.9999769414187094,very_high,true_positive
Syria,2021,Middle East,1,1,1,0.9999767424324576,very_high,true_positive
India,2020,Asia,1,1,1,0.9999722903293128,very_high,true_positive
India,2019,Asia,1,1,1,0.9999659715718288,very_high,true_positive
Syria,2023,Middle East,1,1,1,0.9999629445438994,very_high,true_positive
Mali,2021,Africa,1,1,1,0.9999595757848608,very_high,true_positive
Libya,2017,Africa,1,1,1,0.999949786014544,very_high,true_positive
Colombia,2022,Americas,1,1,1,0.9999392591348036,very_high,true_positive
Brazil,2018,Americas,1,1,1,0.9999379130446322,very_high,true_positive
Ethiopia,2019,Africa,1,1,1,0.999935206758344,very_high,true_positive
Kenya,2017,Africa,1,1,1,0.9999349799604448,very_high,true_positive
India,2017,Asia,1,1,1,0.9999220912808996,very_high,true_positive
India,2022,Asia,1,1,1,0.9999195999755316,very_high,true_positive
Pakistan,2023,Asia,1,1,1,0.999906873084338,very_high,true_positive
Somalia,2020,Africa,1,1,1,0.9999055035936044,very_high,true_positive
Cameroon,2023,Africa,1,1,1,0.9999049399236164,very_high,true_positive
Ethiopia,2022,Africa,1,1,1,0.9998886681210004,very_high,true_positive
Colombia,2021,Americas,1,1,1,0.9998748668945115,very_high,true_positive
Brazil,2017,Americas,1,1,1,0.999871752201158,very_high,true_positive
Kenya,2018,Africa,1,1,1,0.9998563709744508,very_high,true_positive
Pakistan,2018,Asia,1,1,1,0.9998523642272428,very_high,true_positive
Yemen (North Yemen),2018,Middle East,1,1,1,0.9998520629925796,very_high,true_positive
Kenya,2019,Africa,1,1,1,0.999851051919022,very_high,true_positive
Ecuador,2023,Americas,1,1,1,0.9998384495744284,very_high,true_positive
Yemen (North Yemen),2019,Middle East,1,1,1,0.9998353742872018,very_high,true_positive
India,2021,Asia,1,1,1,0.9998292400013368,very_high,true_positive
Cameroon,2021,Africa,1,1,1,0.9998239980894358,very_high,true_positive
Sudan,2019,Africa,1,1,1,0.9997799589885576,very_high,true_positive
Colombia,2018,Americas,1,1,1,0.9997786747777616,very_high,true_positive
Afghanistan,2021,Asia,1,1,1,0.999773086369132,very_high,true_positive
