country,region,year,forecast_year,predicted_conflict_probability,predicted_probability_percent,risk_level,risk_level_description,predicted_conflict_next_year,target_conflict_next_year,prediction_result,main_explanation_groups,top_positive_factors,top_negative_factors,short_explanation,explanation_text,technical_warning
Ethiopia,Africa,2023,2024,0.9999769414187094,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos,mortes acumuladas nos últimos 5 anos; existência de conflito estatal no ano-base; existência de conflito não estatal,"Ethiopia: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Ethiopia, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos. Sinais que reduziram a estimativa no modelo: mortes acumuladas nos últimos 5 anos; existência de conflito estatal no ano-base; existência de conflito não estatal.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Syria,Middle East,2023,2024,0.9999629445438994,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral,existência de conflito estatal no ano-base; existência de conflito interestatal; existência de conflito não estatal,"Syria: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Syria, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; quantidade de díades de conflito não estatal; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito interestatal; existência de conflito não estatal.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Pakistan,Asia,2023,2024,0.999906873084338,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos,existência de conflito estatal no ano-base; existência de conflito interestatal; existência de conflito não estatal,"Pakistan: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Pakistan, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito interestatal; existência de conflito não estatal.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Cameroon,Africa,2023,2024,0.9999049399236164,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; quantidade de díades de violência unilateral; quantidade de díades de conflito não estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Cameroon: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Cameroon, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; quantidade de díades de violência unilateral; quantidade de díades de conflito não estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Ecuador,Americas,2023,2024,0.9998384495744284,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,existência de conflito não estatal; crescimento populacional anual; mortes estimadas em conflitos não estatais,"Ecuador: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Ecuador, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; crescimento populacional anual; mortes estimadas em conflitos não estatais.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Somalia,Africa,2023,2024,0.9996080494785922,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Somalia: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Somalia, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Niger,Africa,2023,2024,0.9996057438574276,100.0%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Niger: 100.0% de risco estimado para 2024, classificado como risco muito alto.","Para Niger, o modelo estimou 100.0% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Afghanistan,Asia,2023,2024,0.9985335256319816,99.9%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,existência de conflito estatal no ano-base; existência de conflito interestatal; mortes acumuladas nos últimos 5 anos,"Afghanistan: 99.9% de risco estimado para 2024, classificado como risco muito alto.","Para Afghanistan, o modelo estimou 99.9% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito interestatal; mortes acumuladas nos últimos 5 anos.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Philippines,Asia,2023,2024,0.9983481835604124,99.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB,"Philippines: 99.8% de risco estimado para 2024, classificado como risco muito alto.","Para Philippines, o modelo estimou 99.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Haiti,Americas,2023,2024,0.9983387811424816,99.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,existência de conflito não estatal; existência de violência unilateral; desemprego,"Haiti: 99.8% de risco estimado para 2024, classificado como risco muito alto.","Para Haiti, o modelo estimou 99.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de violência unilateral; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito não estatal; existência de violência unilateral; desemprego.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Central African Republic,Africa,2023,2024,0.9982042152456696,99.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Central African Republic: 99.8% de risco estimado para 2024, classificado como risco muito alto.","Para Central African Republic, o modelo estimou 99.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
South Sudan,Africa,2023,2024,0.99811075732262,99.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"South Sudan: 99.8% de risco estimado para 2024, classificado como risco muito alto.","Para South Sudan, o modelo estimou 99.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito não estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Israel,Middle East,2023,2024,0.9978125609697422,99.8%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,mortes estimadas em conflitos intraestatais; existência de conflito estatal no ano-base; PIB per capita,"Israel: 99.8% de risco estimado para 2024, classificado como risco muito alto.","Para Israel, o modelo estimou 99.8% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: mortes estimadas em conflitos intraestatais; existência de conflito estatal no ano-base; PIB per capita.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Burkina Faso,Africa,2023,2024,0.9972360282684544,99.7%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral; quantidade de díades de conflito estatal,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Burkina Faso: 99.7% de risco estimado para 2024, classificado como risco muito alto.","Para Burkina Faso, o modelo estimou 99.7% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; quantidade de díades de violência unilateral; quantidade de díades de conflito estatal. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Russia (Soviet Union),Europe,2023,2024,0.9947576766148728,99.5%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,existência de conflito estatal no ano-base; existência de conflito interestatal; crescimento populacional anual,"Russia (Soviet Union): 99.5% de risco estimado para 2024, classificado como risco muito alto.","Para Russia (Soviet Union), o modelo estimou 99.5% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito interestatal; crescimento populacional anual.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Mozambique,Africa,2023,2024,0.992739987113705,99.3%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; quantidade de díades de conflito estatal; existência de violência organizada no ano-base,existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral,"Mozambique: 99.3% de risco estimado para 2024, classificado como risco muito alto.","Para Mozambique, o modelo estimou 99.3% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; quantidade de díades de conflito estatal; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de conflito não estatal; existência de violência unilateral.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Iran,Middle East,2023,2024,0.985701319761526,98.6%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB,"Iran: 98.6% de risco estimado para 2024, classificado como risco muito alto.","Para Iran, o modelo estimou 98.6% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: quantidade de díades de conflito estatal; frequência de conflito nos últimos 5 anos; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
Kenya,Africa,2023,2024,0.9847991421761728,98.5%,very_high,risco muito alto,1,1,true_positive,histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank,frequência de conflito nos últimos 5 anos; quantidade de díades de conflito estatal; existência de violência organizada no ano-base,existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB,"Kenya: 98.5% de risco estimado para 2024, classificado como risco muito alto.","Para Kenya, o modelo estimou 98.5% de probabilidade de violência organizada em 2024, classificando o caso como risco muito alto. Os principais grupos associados à estimativa foram: histórico e intensidade de conflitos UCDP; persistência temporal de conflito; indicadores socioeconômicos World Bank. Sinais que elevaram a estimativa: frequência de conflito nos últimos 5 anos; quantidade de díades de conflito estatal; existência de violência organizada no ano-base. Sinais que reduziram a estimativa no modelo: existência de conflito estatal no ano-base; existência de violência unilateral; crescimento anual do PIB.",Explicação aproximada baseada em coeficientes e valores relativos das features; não representa causalidade direta.
