country,region,year,forecast_year,organized_violence_exists,target_conflict_next_year,predicted_conflict_next_year,predicted_conflict_probability,predicted_probability_percent,risk_level,risk_level_description,prediction_result,predictive_statement
Ecuador,Americas,2023,2024,1,1,1,0.9998384495744284,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Ecuador (risco muito alto)."
Somalia,Africa,2023,2024,1,1,1,0.9996080494785922,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Somalia (risco muito alto)."
Niger,Africa,2023,2024,1,1,1,0.9996057438574276,100.0%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 100.0% de probabilidade de violência organizada em 2024 para Niger (risco muito alto)."
Afghanistan,Asia,2023,2024,1,1,1,0.9985335256319816,99.9%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.9% de probabilidade de violência organizada em 2024 para Afghanistan (risco muito alto)."
Philippines,Asia,2023,2024,1,1,1,0.9983481835604124,99.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.8% de probabilidade de violência organizada em 2024 para Philippines (risco muito alto)."
Haiti,Americas,2023,2024,1,1,1,0.9983387811424816,99.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.8% de probabilidade de violência organizada em 2024 para Haiti (risco muito alto)."
Central African Republic,Africa,2023,2024,1,1,1,0.9982042152456696,99.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.8% de probabilidade de violência organizada em 2024 para Central African Republic (risco muito alto)."
South Sudan,Africa,2023,2024,1,1,1,0.99811075732262,99.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.8% de probabilidade de violência organizada em 2024 para South Sudan (risco muito alto)."
Israel,Middle East,2023,2024,1,1,1,0.9978125609697422,99.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.8% de probabilidade de violência organizada em 2024 para Israel (risco muito alto)."
Burkina Faso,Africa,2023,2024,1,1,1,0.9972360282684544,99.7%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.7% de probabilidade de violência organizada em 2024 para Burkina Faso (risco muito alto)."
Russia (Soviet Union),Europe,2023,2024,1,1,1,0.9947576766148728,99.5%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.5% de probabilidade de violência organizada em 2024 para Russia (Soviet Union) (risco muito alto)."
Mozambique,Africa,2023,2024,1,1,1,0.992739987113705,99.3%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 99.3% de probabilidade de violência organizada em 2024 para Mozambique (risco muito alto)."
Iran,Middle East,2023,2024,1,1,1,0.985701319761526,98.6%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 98.6% de probabilidade de violência organizada em 2024 para Iran (risco muito alto)."
Kenya,Africa,2023,2024,1,1,1,0.9847991421761728,98.5%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 98.5% de probabilidade de violência organizada em 2024 para Kenya (risco muito alto)."
Chad,Africa,2023,2024,1,1,1,0.9827526403756544,98.3%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 98.3% de probabilidade de violência organizada em 2024 para Chad (risco muito alto)."
Burundi,Africa,2023,2024,1,1,1,0.9731091475765812,97.3%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 97.3% de probabilidade de violência organizada em 2024 para Burundi (risco muito alto)."
Iraq,Middle East,2023,2024,1,1,1,0.9713154620031303,97.1%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 97.1% de probabilidade de violência organizada em 2024 para Iraq (risco muito alto)."
Indonesia,Asia,2023,2024,1,1,1,0.9678379536014926,96.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 96.8% de probabilidade de violência organizada em 2024 para Indonesia (risco muito alto)."
Bangladesh,Asia,2023,2024,1,1,1,0.9672672102341272,96.7%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 96.7% de probabilidade de violência organizada em 2024 para Bangladesh (risco muito alto)."
Yemen (North Yemen),Middle East,2023,2024,1,1,1,0.9624803127671911,96.2%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 96.2% de probabilidade de violência organizada em 2024 para Yemen (North Yemen) (risco muito alto)."
Venezuela,Americas,2023,2024,1,1,1,0.9390185591365908,93.9%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 93.9% de probabilidade de violência organizada em 2024 para Venezuela (risco muito alto)."
Egypt,Middle East,2023,2024,1,0,1,0.9374916633356926,93.7%,very_high,risco muito alto,false_positive,"Para o ano-base 2023, o modelo estimou 93.7% de probabilidade de violência organizada em 2024 para Egypt (risco muito alto)."
Angola,Africa,2023,2024,1,1,1,0.9263707184291656,92.6%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 92.6% de probabilidade de violência organizada em 2024 para Angola (risco muito alto)."
Uganda,Africa,2023,2024,1,1,1,0.9240055839296284,92.4%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 92.4% de probabilidade de violência organizada em 2024 para Uganda (risco muito alto)."
Thailand,Asia,2023,2024,1,1,1,0.9210597613256976,92.1%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 92.1% de probabilidade de violência organizada em 2024 para Thailand (risco muito alto)."
Honduras,Americas,2023,2024,1,1,1,0.9177651903244222,91.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 91.8% de probabilidade de violência organizada em 2024 para Honduras (risco muito alto)."
Benin,Africa,2023,2024,1,1,1,0.9167107753520846,91.7%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 91.7% de probabilidade de violência organizada em 2024 para Benin (risco muito alto)."
Turkey,Middle East,2023,2024,1,1,1,0.892928308055665,89.3%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 89.3% de probabilidade de violência organizada em 2024 para Turkey (risco muito alto)."
Tunisia,Africa,2023,2024,1,0,1,0.8887010857305689,88.9%,very_high,risco muito alto,false_positive,"Para o ano-base 2023, o modelo estimou 88.9% de probabilidade de violência organizada em 2024 para Tunisia (risco muito alto)."
Algeria,Africa,2023,2024,1,1,1,0.8865053857081961,88.7%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 88.7% de probabilidade de violência organizada em 2024 para Algeria (risco muito alto)."
Azerbaijan,Europe,2023,2024,1,0,1,0.874602957299001,87.5%,very_high,risco muito alto,false_positive,"Para o ano-base 2023, o modelo estimou 87.5% de probabilidade de violência organizada em 2024 para Azerbaijan (risco muito alto)."
Libya,Africa,2023,2024,1,1,1,0.8685694760988123,86.9%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 86.9% de probabilidade de violência organizada em 2024 para Libya (risco muito alto)."
South Africa,Africa,2023,2024,1,1,1,0.8669155818017668,86.7%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 86.7% de probabilidade de violência organizada em 2024 para South Africa (risco muito alto)."
Togo,Africa,2023,2024,1,1,1,0.8660144818575386,86.6%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 86.6% de probabilidade de violência organizada em 2024 para Togo (risco muito alto)."
Armenia,Europe,2023,2024,1,0,1,0.8519799225297238,85.2%,very_high,risco muito alto,false_positive,"Para o ano-base 2023, o modelo estimou 85.2% de probabilidade de violência organizada em 2024 para Armenia (risco muito alto)."
Lebanon,Middle East,2023,2024,1,1,1,0.8383276979475452,83.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 83.8% de probabilidade de violência organizada em 2024 para Lebanon (risco muito alto)."
Peru,Americas,2023,2024,1,0,1,0.8293681908174708,82.9%,very_high,risco muito alto,false_positive,"Para o ano-base 2023, o modelo estimou 82.9% de probabilidade de violência organizada em 2024 para Peru (risco muito alto)."
Saudi Arabia,Middle East,2023,2024,1,0,1,0.8117042624628157,81.2%,very_high,risco muito alto,false_positive,"Para o ano-base 2023, o modelo estimou 81.2% de probabilidade de violência organizada em 2024 para Saudi Arabia (risco muito alto)."
Guatemala,Americas,2023,2024,1,1,1,0.8080086822399376,80.8%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 80.8% de probabilidade de violência organizada em 2024 para Guatemala (risco muito alto)."
Morocco,Africa,2023,2024,1,1,1,0.8042397495796229,80.4%,very_high,risco muito alto,true_positive,"Para o ano-base 2023, o modelo estimou 80.4% de probabilidade de violência organizada em 2024 para Morocco (risco muito alto)."
China,Asia,2023,2024,1,0,1,0.7945997534969037,79.5%,high,risco alto,false_positive,"Para o ano-base 2023, o modelo estimou 79.5% de probabilidade de violência organizada em 2024 para China (risco alto)."
Papua New Guinea,Asia,2023,2024,1,1,1,0.7632948523447602,76.3%,high,risco alto,true_positive,"Para o ano-base 2023, o modelo estimou 76.3% de probabilidade de violência organizada em 2024 para Papua New Guinea (risco alto)."
Kingdom of eSwatini (Swaziland),Africa,2023,2024,1,0,1,0.726969502589635,72.7%,high,risco alto,false_positive,"Para o ano-base 2023, o modelo estimou 72.7% de probabilidade de violência organizada em 2024 para Kingdom of eSwatini (Swaziland) (risco alto)."
Mauritania,Africa,2023,2024,1,1,1,0.689129397342568,68.9%,high,risco alto,true_positive,"Para o ano-base 2023, o modelo estimou 68.9% de probabilidade de violência organizada em 2024 para Mauritania (risco alto)."
Ghana,Africa,2023,2024,1,1,1,0.6172597008899549,61.7%,high,risco alto,true_positive,"Para o ano-base 2023, o modelo estimou 61.7% de probabilidade de violência organizada em 2024 para Ghana (risco alto)."
Tanzania,Africa,2023,2024,0,1,1,0.5360560538993169,53.6%,moderate,risco moderado,true_positive,"Para o ano-base 2023, o modelo estimou 53.6% de probabilidade de violência organizada em 2024 para Tanzania (risco moderado)."
Bolivia,Americas,2023,2024,1,0,0,0.4753051151545031,47.5%,moderate,risco moderado,true_negative,"Para o ano-base 2023, o modelo estimou 47.5% de probabilidade de violência organizada em 2024 para Bolivia (risco moderado)."
Rwanda,Africa,2023,2024,0,1,0,0.4454752837817058,44.5%,moderate,risco moderado,false_negative,"Para o ano-base 2023, o modelo estimou 44.5% de probabilidade de violência organizada em 2024 para Rwanda (risco moderado)."
France,Europe,2023,2024,1,1,0,0.4142779708374979,41.4%,moderate,risco moderado,false_negative,"Para o ano-base 2023, o modelo estimou 41.4% de probabilidade de violência organizada em 2024 para France (risco moderado)."
Tajikistan,Asia,2023,2024,0,0,0,0.3759440799652959,37.6%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 37.6% de probabilidade de violência organizada em 2024 para Tajikistan (risco baixo)."
Congo,Africa,2023,2024,0,0,0,0.3277412919218015,32.8%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 32.8% de probabilidade de violência organizada em 2024 para Congo (risco baixo)."
Senegal,Africa,2023,2024,0,0,0,0.3168120916610844,31.7%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 31.7% de probabilidade de violência organizada em 2024 para Senegal (risco baixo)."
El Salvador,Americas,2023,2024,0,0,0,0.3162730831419159,31.6%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 31.6% de probabilidade de violência organizada em 2024 para El Salvador (risco baixo)."
Georgia,Europe,2023,2024,1,0,0,0.2643404087889257,26.4%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 26.4% de probabilidade de violência organizada em 2024 para Georgia (risco baixo)."
Guinea,Africa,2023,2024,0,0,0,0.2574723711193369,25.7%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 25.7% de probabilidade de violência organizada em 2024 para Guinea (risco baixo)."
Spain,Europe,2023,2024,1,0,0,0.2470090291523225,24.7%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 24.7% de probabilidade de violência organizada em 2024 para Spain (risco baixo)."
Kyrgyzstan,Asia,2023,2024,0,0,0,0.2320635580617126,23.2%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 23.2% de probabilidade de violência organizada em 2024 para Kyrgyzstan (risco baixo)."
Zimbabwe (Rhodesia),Africa,2023,2024,0,0,0,0.2274111680292951,22.7%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 22.7% de probabilidade de violência organizada em 2024 para Zimbabwe (Rhodesia) (risco baixo)."
Paraguay,Americas,2023,2024,0,0,0,0.21707413321179,21.7%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 21.7% de probabilidade de violência organizada em 2024 para Paraguay (risco baixo)."
Madagascar (Malagasy),Africa,2023,2024,0,0,0,0.2058848436037815,20.6%,low,risco baixo,true_negative,"Para o ano-base 2023, o modelo estimou 20.6% de probabilidade de violência organizada em 2024 para Madagascar (Malagasy) (risco baixo)."
Eritrea,Africa,2023,2024,0,0,0,0.1975635393400033,19.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 19.8% de probabilidade de violência organizada em 2024 para Eritrea (risco muito baixo)."
Liberia,Africa,2023,2024,0,1,0,0.1975038386094041,19.8%,very_low,risco muito baixo,false_negative,"Para o ano-base 2023, o modelo estimou 19.8% de probabilidade de violência organizada em 2024 para Liberia (risco muito baixo)."
Belgium,Europe,2023,2024,1,0,0,0.1957214842010951,19.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 19.6% de probabilidade de violência organizada em 2024 para Belgium (risco muito baixo)."
United States of America,Americas,2023,2024,0,0,0,0.1802215101888756,18.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 18.0% de probabilidade de violência organizada em 2024 para United States of America (risco muito baixo)."
Nepal,Asia,2023,2024,0,0,0,0.1649917917667367,16.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 16.5% de probabilidade de violência organizada em 2024 para Nepal (risco muito baixo)."
Ivory Coast,Africa,2023,2024,0,0,0,0.1631630430768389,16.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 16.3% de probabilidade de violência organizada em 2024 para Ivory Coast (risco muito baixo)."
Djibouti,Africa,2023,2024,0,0,0,0.1484235038602882,14.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 14.8% de probabilidade de violência organizada em 2024 para Djibouti (risco muito baixo)."
Sierra Leone,Africa,2023,2024,0,0,0,0.1389918506709373,13.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 13.9% de probabilidade de violência organizada em 2024 para Sierra Leone (risco muito baixo)."
Poland,Europe,2023,2024,0,0,0,0.1254679270361541,12.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 12.5% de probabilidade de violência organizada em 2024 para Poland (risco muito baixo)."
Laos,Asia,2023,2024,0,0,0,0.1238399532131595,12.4%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 12.4% de probabilidade de violência organizada em 2024 para Laos (risco muito baixo)."
Sri Lanka,Asia,2023,2024,0,0,0,0.1217169044552992,12.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 12.2% de probabilidade de violência organizada em 2024 para Sri Lanka (risco muito baixo)."
Cambodia (Kampuchea),Asia,2023,2024,0,0,0,0.119194838084511,11.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 11.9% de probabilidade de violência organizada em 2024 para Cambodia (Kampuchea) (risco muito baixo)."
Kuwait,Middle East,2023,2024,0,0,0,0.1181710361210719,11.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 11.8% de probabilidade de violência organizada em 2024 para Kuwait (risco muito baixo)."
United Arab Emirates,Middle East,2023,2024,0,0,0,0.1180550265184883,11.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 11.8% de probabilidade de violência organizada em 2024 para United Arab Emirates (risco muito baixo)."
Solomon Islands,Asia,2023,2024,0,0,0,0.11446560522164,11.4%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 11.4% de probabilidade de violência organizada em 2024 para Solomon Islands (risco muito baixo)."
Zambia,Africa,2023,2024,0,0,0,0.1129353589687413,11.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 11.3% de probabilidade de violência organizada em 2024 para Zambia (risco muito baixo)."
Comoros,Africa,2023,2024,0,0,0,0.1087039345905905,10.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 10.9% de probabilidade de violência organizada em 2024 para Comoros (risco muito baixo)."
Guinea-Bissau,Africa,2023,2024,0,0,0,0.1070712783108322,10.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 10.7% de probabilidade de violência organizada em 2024 para Guinea-Bissau (risco muito baixo)."
Gambia,Africa,2023,2024,0,1,0,0.1048058351747669,10.5%,very_low,risco muito baixo,false_negative,"Para o ano-base 2023, o modelo estimou 10.5% de probabilidade de violência organizada em 2024 para Gambia (risco muito baixo)."
Nicaragua,Americas,2023,2024,0,0,0,0.1026266466583338,10.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 10.3% de probabilidade de violência organizada em 2024 para Nicaragua (risco muito baixo)."
Namibia,Africa,2023,2024,0,0,0,0.0975508856017697,9.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 9.8% de probabilidade de violência organizada em 2024 para Namibia (risco muito baixo)."
Lesotho,Africa,2023,2024,0,0,0,0.0955834084512394,9.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 9.6% de probabilidade de violência organizada em 2024 para Lesotho (risco muito baixo)."
Jordan,Middle East,2023,2024,0,1,0,0.093194719320394,9.3%,very_low,risco muito baixo,false_negative,"Para o ano-base 2023, o modelo estimou 9.3% de probabilidade de violência organizada em 2024 para Jordan (risco muito baixo)."
Uzbekistan,Asia,2023,2024,0,0,0,0.0931382039482543,9.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 9.3% de probabilidade de violência organizada em 2024 para Uzbekistan (risco muito baixo)."
Malaysia,Asia,2023,2024,0,0,0,0.0922498745536413,9.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 9.2% de probabilidade de violência organizada em 2024 para Malaysia (risco muito baixo)."
Bhutan,Asia,2023,2024,0,0,0,0.0876203429100014,8.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 8.8% de probabilidade de violência organizada em 2024 para Bhutan (risco muito baixo)."
Botswana,Africa,2023,2024,0,0,0,0.0856104138019476,8.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 8.6% de probabilidade de violência organizada em 2024 para Botswana (risco muito baixo)."
Jamaica,Americas,2023,2024,0,0,0,0.0816200221966201,8.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 8.2% de probabilidade de violência organizada em 2024 para Jamaica (risco muito baixo)."
Bahrain,Middle East,2023,2024,0,0,0,0.075990551611993,7.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.6% de probabilidade de violência organizada em 2024 para Bahrain (risco muito baixo)."
Panama,Americas,2023,2024,0,0,0,0.0749189027584538,7.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.5% de probabilidade de violência organizada em 2024 para Panama (risco muito baixo)."
Argentina,Americas,2023,2024,0,0,0,0.0747799814071401,7.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.5% de probabilidade de violência organizada em 2024 para Argentina (risco muito baixo)."
Romania,Europe,2023,2024,0,0,0,0.0732530310785734,7.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.3% de probabilidade de violência organizada em 2024 para Romania (risco muito baixo)."
Serbia (Yugoslavia),Europe,2023,2024,0,0,0,0.072910562665007,7.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.3% de probabilidade de violência organizada em 2024 para Serbia (Yugoslavia) (risco muito baixo)."
North Macedonia,Europe,2023,2024,0,0,0,0.0716826047624868,7.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.2% de probabilidade de violência organizada em 2024 para North Macedonia (risco muito baixo)."
Bosnia-Herzegovina,Europe,2023,2024,0,0,0,0.0705417351717485,7.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 7.1% de probabilidade de violência organizada em 2024 para Bosnia-Herzegovina (risco muito baixo)."
Malawi,Africa,2023,2024,0,0,0,0.0686012781370192,6.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 6.9% de probabilidade de violência organizada em 2024 para Malawi (risco muito baixo)."
Trinidad and Tobago,Americas,2023,2024,0,0,0,0.0680620811606825,6.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 6.8% de probabilidade de violência organizada em 2024 para Trinidad and Tobago (risco muito baixo)."
East Timor,Asia,2023,2024,0,0,0,0.0680035471723516,6.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 6.8% de probabilidade de violência organizada em 2024 para East Timor (risco muito baixo)."
United Kingdom,Europe,2023,2024,0,0,0,0.0678818005893342,6.8%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 6.8% de probabilidade de violência organizada em 2024 para United Kingdom (risco muito baixo)."
Oman,Middle East,2023,2024,0,0,0,0.0610626135405907,6.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 6.1% de probabilidade de violência organizada em 2024 para Oman (risco muito baixo)."
Austria,Europe,2023,2024,0,0,0,0.0609347025248251,6.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 6.1% de probabilidade de violência organizada em 2024 para Austria (risco muito baixo)."
Moldova,Europe,2023,2024,0,0,0,0.0591336149460024,5.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.9% de probabilidade de violência organizada em 2024 para Moldova (risco muito baixo)."
Albania,Europe,2023,2024,0,0,0,0.0590571475832195,5.9%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.9% de probabilidade de violência organizada em 2024 para Albania (risco muito baixo)."
Croatia,Europe,2023,2024,0,0,0,0.0565796062262,5.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.7% de probabilidade de violência organizada em 2024 para Croatia (risco muito baixo)."
Malta,Europe,2023,2024,0,0,0,0.0552103188572339,5.5%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.5% de probabilidade de violência organizada em 2024 para Malta (risco muito baixo)."
Canada,Americas,2023,2024,0,0,0,0.0519958805361021,5.2%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.2% de probabilidade de violência organizada em 2024 para Canada (risco muito baixo)."
Equatorial Guinea,Africa,2023,2024,0,0,0,0.0512279846011443,5.1%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.1% de probabilidade de violência organizada em 2024 para Equatorial Guinea (risco muito baixo)."
Italy,Europe,2023,2024,0,0,0,0.0503634647745994,5.0%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 5.0% de probabilidade de violência organizada em 2024 para Italy (risco muito baixo)."
Australia,Asia,2023,2024,0,0,0,0.0465773723944946,4.7%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 4.7% de probabilidade de violência organizada em 2024 para Australia (risco muito baixo)."
Germany,Europe,2023,2024,0,1,0,0.0465137763087591,4.7%,very_low,risco muito baixo,false_negative,"Para o ano-base 2023, o modelo estimou 4.7% de probabilidade de violência organizada em 2024 para Germany (risco muito baixo)."
Sao Tome and Principe,Africa,2023,2024,0,0,0,0.0461791583213761,4.6%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 4.6% de probabilidade de violência organizada em 2024 para Sao Tome and Principe (risco muito baixo)."
Vietnam (North Vietnam),Asia,2023,2024,0,0,0,0.0426026107703449,4.3%,very_low,risco muito baixo,true_negative,"Para o ano-base 2023, o modelo estimou 4.3% de probabilidade de violência organizada em 2024 para Vietnam (North Vietnam) (risco muito baixo)."
